job_title,company_name,experience,salary,location,key_skills,about_company,job_descriptio
Python Developer,SPM Jobs,3 - 8 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
Computer scienceVersion controlApplication programmingConsultingJavascriptAgileMVCOracleSoftware servicesPython","About Company
SPM Jobs is a wholly owned subsidiary of SPM HR SOLUTIONS. SPM Jobs is an Indian job portal helps jobseekers and employers interact each other to find right candidate or job in India.
Company Info
Websitehttps://spmjobs.com/home/job_details?job_id=24146db4eb48c718b84cae0a0799dcfc","Migrate the data from Oracle to Big Query by using Python Designing and implementing REST based APIs Creating serverless applications in Python Developing product analysis tasks
Making complex technical and design decisions for Python projects
Developing application codes and unit tests in Python, and Rest Web Services
Conducting performance tests
Consulting with the design team
Ensuring high performance of applications and providing support
 

Desired Candidate Profile
Bachelors Degree in Computer Science, Computer Engineering or similar
Knowledge ofGoogle Cloud Platform specially Bigquery serviceis a must
Knowledge of Python is essential Previous work experience of more than 3+ years as a developer Knowledge of JavaScript MV-VM/MVC frameworks
Experience of Django will be preferred Experience with Git based version control systems
Experience working in an Agile project
Good project management skills
Good communication skills
Critical thinker and good problem-solver
Self-starter with the ability to engage with distributed remote teams

Key Skills
Web Services,Rest,Oracle,Technical Design,Web Technologies,Product Analysis"
Data engineer(AWS+ Redshift+ Redshift Data API + Python),Winvest3.7(10 Reviews),5 - 8 years,Not Disclosed,"Mumbai, Hyderabad/Secunderabad, Chennai","Key Skills
Data engineerawsRedshift
pythonAPI
Skills highlighted with ‘‘ are preferred keyskills","About Company
Winvest Technology Consultancy Services Private Limited (WINVEST) is an IT Solution and Services company, focusing on industry specific niche solutions that help organizations in their journey of digital transformation.
WINVEST works with individuals and organizations globally, who are interested in innovative solutions promising value-creation for enterprises. WINVEST supports new ideas to take shape in terms of ideation, development, execution and go-to-market.
With its proven methodology, tools and flexible approach, WINVEST assists enterprises to measure and manage the value-adds, thus enriching and fostering the process of value-creations.
The enriched work experience in multiple technology landscape, multiple geographies and multiple verticals enable WINVEST in its advisory role to its global customers.
The core tenet of WINVEST lies in Customer Centricity, Integrity, Collaboration, Partnership and Innovation with TRUST.
Company Info
Addresswww.winvest-global.com","Greetings from Winvest Technologies !!

We are hiring Data Engineers...

Required skill set:


  Understanding of AWS Glue, Python ,spark , EMR ,database queries , Redshift DB usage experience , understanding the concepts of Athena , Glue crawlers etc.
Required to be hands on Tech Architectural profile , providing solutions , suggestions and helping in maintaining the technical frameworks that are being used in citizens bank.
Experience using AWS services in architecting solutions.
Added experience of Talend will be a big plus .
Preferably AWS solution certified architect
Good knowledge on migrating on premise applications to AWS IaaS
Experience in full life-cycle agile software development
Strong analytical & troubleshooting skills
Excellent communication skills and proven customer consulting experience
R Experience in managing high performance team for different type of engagements like Product Development, Application Development, Migration and Support EngagementsR
Location- Mumbai, Pune, Hyderabad, Chennai
Exp- 5 to 8yrs
Work Timing : 1.00 PM to 11.00 PM"
SW Engineering Lead - Java or Scala Python Big Data,Optum4.1(1880 Reviews),4 - 7 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
Java
unit testsNo SQL DBstreamingsoftware developmentRDBMSScalaBig DataCloud technologiesPython
Skills highlighted with ‘‘ are preferred keyskills","About Company
Careers at Optum
If you're going to change careers, why not look for an employer that's out to change everything? If you have that kind of appetite for change, Optum is the right place for you. As part of the growing UnitedHealth Group family of businesses, we're driving innovation and change all over the world. That's creating opportunity right here in India for people with energy, passion and a focus on quality. We're driven to help people live healthier lives and to help make the health care system work better for everyone. We want to make a difference and that makes this the one job opportunity that can change everything for you.

As part of UnitedHealth Group, a Fortune 6 company, Optum is a leading health services and technology company dedicated to helping make the health system work better for everyone. With more than 115,000 people collaborating worldwide, Optum combines people, technology, data and action to improve the delivery, quality and efficiency of health care.

This work takes all of your commitment, skills, passion and energy. It's hard to become #1 and even harder to stay in the lead. That's why we rely on a set of fundamental principles that are guiding our way forward. Our values of integrity, compassion, relationships, innovation, and performance serve as a foundation to transform health care.
Are you in? Learn more about your future at Optum: workatoptum.com
Diversity creates a healthier atmosphere: Optum is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law. Optum is a drug-free workplace.
(c) 2017 Optum Global Solutions (India) Private Limited (formerly known as QSSI Technologies India Private Limited). All rights reserved.
Company Info
Address13625 Technology Dr,, Other USA, , USA","Primary Responsibilities:
Deliver professional level technical work in support of the development of company products, tools, platforms and services related to big data, typically for an external customer or end user
Operates within established methodologies, procedures, and guidelines
Ability to work independently in a fast paced, agile environment
Willing to learn big data technologies and develop technical depth in quick timeframe
Gather and analyse business requirements
Architect/Design Big Data infrastructure and solutions
Develop technical specifications and design documents
Develop, enhance, integrate, test and deploy Solutions
Know that this opportunity comes with big potential and big challenges. It takes an ability to solve technical and strategic challenges using innovative approaches. You'll be using complex data to support business decisions and you'll need to demonstrate collaborative, creative and conceptual thinking
Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so
Required Qualifications:
BTech or equivalent degree from a reputed college
4 - 7 years of professional experience in software development
Experience in writing solid unit tests and integration tests
Experience in designing and developing/coding software components
Experience in Cloud technologies, streaming, No SQL DB
Expert in Java/Scala, Python and RDBMS"
NA,NA,NA,NA,NA,"Key Skills
Linux
AnsiblePython
Skills highlighted with ‘‘ are preferred keyskills","Company Profile
CES
This position is for our major financial client in Mumbai.

Job Type: Permanent
Company: Multi National Company; Fortune 500
Company Info",NA
Full Stack Python Developer,Changeleaders Consulting Private Limited,5 - 8 years,"₹ 8,00,000 - 18,00,000 P.A.","Mumbai, Hyderabad/Secunderabad, Pune, Chennai","Key Skills
JAVAAzureCSSWeb TechnologiesHTMLRest ApiSQLDjangoscrumagileAWSWeb ServicesFlaskPython","About Company
It is an HR Tech consulting firm based at Gurgaon. We hire for MNCs and large Indian organizations.
https://www.changeleaders.in
Company Info
Websitehttp://careers.changeleaders.in
Address4th Floor 91SpringBoard Building, Plot No 145, Sector 44, GURGAON, Haryana - 122003,India|91-124-1111111
Contact PersonPuja Kakoti
Phone Number7503842469","Roles and Responsibilities
Primary Skills: Python, Django, Flask, Bottle, Cloud (AWS), Web APIs
Solid experience as Python Developer
Responsibilities Proven-deep-expertise with Python programming (3 Years minimum hands-on experience in Python)
Experience with Python frameworks (e.g. Django, Flask)
Familiarity with Amazon Web Services (AWS) and REST API
Understanding of databases and SQL
Solid understanding of OOPS and demonstrated experience in SQL
Preferred Background and Abilities Hands-on experience in working with Cloud (any one or more of) AWS, Azure and GC.
Experience with Scrum/Agile development methodologies
Experience with HTML, CSS, JAVA SCRIPT
Experience working in Linux/UNIX/UNIX-like environment with an ability to perform basic OS administration.
Someone who is passionate about open-source technologies and can show examples of their skills
Attention to detail
Leadership skills
BSc in Computer Science, Engineering or relevant field"
PHP Full Stack Developer - Python/Node.js,Okda Solutions,6 - 8 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
PHP
Solution IntegrationFull StackNode.jsApplications SupportPython
Skills highlighted with ‘‘ are preferred keyskills","About Company
Leading Client
Company Info
Address.","Role: PHP Full Stack Developer

What we are looking for:

- Looking for a talented PHP Developer having experience in writing clean PHP code, having additional experience in PythonNodeJs and HTMl,CSS, JS

- Someone very good in understanding requirements and developing services & features quickly.

- Good communication skills & team player, who engages with all stakeholders of the project to add clarity for all aspects of the ongoing software development project.

What you will be doing :

Your responsibilities will include :

- Having good attention to detail & requirements.

- Building software applications in PHP (mostly) and PythonNodejs api-services.

- Creating web pages using HTML, CSS, JavaScript or VueJs.

- Developing applications using best design and coding practices.

- Writing, maintaining & upgrading middleware & back-end code and building efficient PHP and PythonNodejs modules & services.

- Troubleshooting application and code issues.

- Integrating code with Databases & data storage solutions.

- Finalizing back-end features and testing web services.

- Updating and altering application features to enhance performance.

Key Requirements :

- Degree in Computer Science, Engineering or a related field.

- Must have Experience in PHP (Lumen & Laravel).

- Experience in either PythonNodejs api development.

- Experience with UtilsStandards: REST, Swagger, JSON Schema.

- Experience in Web Page development - HTML, CSS, JS. Knowledge of VueJS will be a plus.

- Experience in creating scalable service-oriented & serverless applications.

- Experience with secure coding.

- Proficient BitBucket and Git.

- Should be experienced in following Agile methodologies. Tools - Jira & Confluence.

- Must have experience in Postgresql, MySql, MongoDB and Redis.

- AWS Services - S3, EC2, RDS, Elastic Cache.

- Good problem solving, decision making and prioritization skills."
Full Stack Developer - Python/Django,Okda Solutions,5 - 7 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
Python
REST APIPostgreSQLMicroservices ArchitectureDjangoMySQLFull StackSQL ServerSQL
Skills highlighted with ‘‘ are preferred keyskills","About Company
Leading Client
Company Info
Address.","Looking for a Full-stack PythonDjango developer for Hyderabad location. Must have 5-7 years of experience in Python, Core Python, Rest API and Microservices.

- Should have solid knowledge in database skills in a relational database (MySQL, SQL Server, or PostgreSQL).

- Strong understanding of Django ORM and SQL Alchemy

- Supporting testing process and troubleshooting issues and resolving them.

- Participating in architectural design sessions and product discussions.

- Working closely with front-end and UX developers to provide scalable solutions.

- Working with AgileSCRUM team setting, including cross-functional structures, and varying levels of management.

- Experience using AWS cloud and Google cloud its resourcesservices is a big plus."
Full Stack Developer - Python/Django,MNR Solutions Private Limited,4 - 8 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
DjangoHTMLPython
GitDatabase SchemaRDBMSMercurialJavaScriptPostgresAlgorithmAWSSQL
Skills highlighted with ‘‘ are preferred keyskills","About Company
Leading Client
Company Info
Address.","Responsibility :

- Manage a team of developers and guide them through various projects

- Work closely with the founders to spec and implement core products and features.

- Implement new interfaces and functionality from the ground up, including UIs and APIs.

- A full-stack generalist with deep experience building web and native applications.

- Comfortable with Python Django

- Have experience in building web applications in Python and Django

- In-depth understanding of HTML, JavaScript, and front-end frameworks (React/Angular)

- Model database architecture for performance and scalability

- Strong experience with Postgres or another SQL RDBMS, Must have modeled database schemas for large-scale applications

- Proficient understanding of code versioning tools {{such as Git, Mercurial or SVN}}

- Have experience building and running production-ready API's.

- Obsess about continuous product improvement beyond shipping new products

- Passionate about solving a real-world problem

- Strong bias towards action but ground your decisions on data and a thorough process

- Solid foundational concepts like algorithms, APIs, scaling and performance

- Willingness to work long hours and hustling attitude towards meeting the deadlines.

Competence :

- User interface and visual design chops.

- Previous experience working in Fintech

- Experience with AWS."
Full Stack Developer - Python/ Django,Confidential,5 - 7 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
DjangoPostgresqlMySQL
SQL ServerRest ApiORMAWSMicroservicesPythonGoogle Cloud
Skills highlighted with ‘‘ are preferred keyskills","About Company
Leading Client
Company Info
Address.","Python Job description:

Looking for a Full-stack PythonDjango developer for Hyderabad location. Must have 5-7 years of experience in Python, Core Python, Rest API and Microservices.

- Should have solid knowledge in database skills in a relational database (MySQL, SQL Server, or PostgreSQL).

- Strong understanding of Django ORM and SQL Alchemy

- Supporting testing process and troubleshooting issues and resolving them.

- Participating in architectural design sessions and product discussions.

- Working closely with front-end and UX developers to provide scalable solutions.

- Working with AgileSCRUM team setting, including cross-functional structures, and varying levels of management.

- Experience using AWS cloud and Google cloud its resourcesservices is a big plus."
Full Stack Web Developer - Python/ Golang/ JavaScript,Confidential,3 - 6 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
Golang CSS3jQuery
JavaScriptMySQLHTML5Full StackPHPJSONAPIWebservicesPython
Skills highlighted with ‘‘ are preferred keyskills","About Company
Leading Client
Company Info
Address.","Roles and Responsibilities
Job Description :

Immediate joiners or Less than 15 Days notice period.

Able to work from home till lockdown.

- We are looking for a Full Stack Web Developer who is motivated to combine the art of design with the art of programming. Responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application.

- You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works. On the backend, you will have the opportunity to help our product scale and be involved in the further architecture of the platform.

Responsibilities :

- Develop new user-facing features

- Build reusable code and libraries for future use

- Build scalable architecture to support millions of users

- Ensure the technical feasibility of UI/UX designs

- Work closely with the UI/UX designers and product managers

- Optimize application for maximum speed and scalability

- Assure that all user input is validated before submitting to back-end

- Collaborate with other team members and stakeholders

Skills And Qualifications :

- Proficient understanding of web markup, including HTML5, CSS3

- 3+ years of experience with Full-Stack web development

- Proficient in PHP or Python or Golang

- Experience on Golang is an added advantage.

- Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery

- Good understanding of asynchronous request handling, partial page updates, and AJAX.

- Use test-driven development and acceptance tests to ensure feature quality

- Excellent relational database skills with MySQL

- Experience with building restful JSON web services

- Knowledge of API's, such as twitter, Facebook, Google maps, Instagram, etc.

Benefits :

Here is a glimpse of some of the benefits we offer :

- Competitive Salary

- Medical insurance & Accidental insurance to keep you and your family healthy.

- Possibility to travel around the world for seminars and learning on the latest technologies in the industry.

- Great team to work with exposure in the best technologies in the industry."
AWS Python Developer/ Lead,Easy Recruit,4 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Chennai","Key Skills
Python
cloudsparkscalalinuxawsetl
Skills highlighted with ‘‘ are preferred keyskills","About Company
Leading Client
Company Info
Address.","Skills sets - Must Have:

AWS cloud (1+ yr), Python, Bigdata experience, Spark, Scala
Skills sets - Nice to Have:

AWS Certification, ETL Knowledge, Linux, Shell scripting"
NA,NA,NA,NA,NA,NA,NA,NA
Python / Sql Alchemy / Cherry Py - SR Software Engineers,Lumos5.0(3 Reviews),2 - 7 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
Python Development
SQL AlchemyCherryPy
Skills highlighted with ‘‘ are preferred keyskills","About Company
Lumos is a boutique software engineering firm, specializing in providing cutting edge technologies for #healthcare industry.
For the past 10 years we have delivered industry leading software using the latest advancements in Cloud technologies (AWS, Azure), Microservice architecture, Relational and non-relational databases etc.
We employ select and brightest engineers to build industry changing software for our clients.
Company Info
Address1-8-32/58, 4th Floor, Bapu Bagh, Minister Road, Secunderabad - 500003","Required Candidate Profile
3+ years of professional experience writing production backend code in Python and Django ORM / SqlAlchemy ORM / CherryPy Web Framework with Senior level engineering proficiency
Experience building products for fast-growing web or mobile products with a passion for working with small nimble teams and a bias for action
Experience doing some front-end web development using HTML, CSS, and modern Javascript using AngularJS and writing apps backed by relational databases (e.g. MySQL or PostgreSQL)
Strong CS fundamentals from a Bachelors in Computer Science, Engineering or equivalent industry experience
Entrepreneurial Spirit: You work well with others while leading individual projects to completion in a distributed environment. You take ownership of your work. Ability to manage conflicting project demands and thrive in a small start-up environment
Passion for Scalability: You work as part of a team and care about building scalable and maintainable systems
User-Centric: A product-first approach to building software. You care about the real-world functionality of your programming. Strong sense for UI and UX and the ability to work cross-departmentally with our Design and Account Management Teams to bring new concepts to live

Responsibilities:
Collaborate with team in an open, supportive environment.
Design and develop applications using agile development processes.
Develop software that operates within a highly scalable distributed multi-tiered environment
Ability to understand and deliver solutions for complex coding challenges
Design and develop product assets, features, themes and style guides
Build reusable UI code and libraries while ensuring the technical feasibility
Consult with leadership and software architects to ensure agreement on system principles.
Adhere to good development practices: documentation, code standards, code/design reviews, optimization and maintainability.
Excellent communication, collaboration, problem-solving and influencing skills
An eye for details in maintaining the end user experience
Ability to leverage existing services and APIs
Maintain a high level of code quality through use of TDD, unit testing, integration testing and other advanced software development techniques
Communicate new skills & tools to other teammates
Strive to learn new skills to further enhance performance.

For selected candidates, we offer the best in class pay package, benefits, flexible work, a nurturing and learning environment."
Sr. Software Engineer Lead - Python Cloud React AngularJS,Optum4.1(1880 Reviews),8 - 10 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
Python
JavaAngularJSAzureSpringReactMicroservicesGitDockerDjangoAnsibleCI/CDMongoDBagileAWSFlask
Skills highlighted with ‘‘ are preferred keyskills","About Company
Careers at Optum
If you're going to change careers, why not look for an employer that's out to change everything? If you have that kind of appetite for change, Optum is the right place for you. As part of the growing UnitedHealth Group family of businesses, we're driving innovation and change all over the world. That's creating opportunity right here in India for people with energy, passion and a focus on quality. We're driven to help people live healthier lives and to help make the health care system work better for everyone. We want to make a difference and that makes this the one job opportunity that can change everything for you.

As part of UnitedHealth Group, a Fortune 6 company, Optum is a leading health services and technology company dedicated to helping make the health system work better for everyone. With more than 115,000 people collaborating worldwide, Optum combines people, technology, data and action to improve the delivery, quality and efficiency of health care.

This work takes all of your commitment, skills, passion and energy. It's hard to become #1 and even harder to stay in the lead. That's why we rely on a set of fundamental principles that are guiding our way forward. Our values of integrity, compassion, relationships, innovation, and performance serve as a foundation to transform health care.
Are you in? Learn more about your future at Optum: workatoptum.com
Diversity creates a healthier atmosphere: Optum is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law. Optum is a drug-free workplace.
(c) 2017 Optum Global Solutions (India) Private Limited (formerly known as QSSI Technologies India Private Limited). All rights reserved.
Company Info
Address13625 Technology Dr,, Other USA, , USA","Primary Responsibilities:
Write user stories and acceptance test criteria for features and detailed functional & nonfunctional requirements for the engineering and development teams
Engage with the Business Partners to understand the context and synthesized market needs that drive the features and user stories. These must delight customers and users, and confound competitor
Define Minimum Viable Product features needed for new capabilities, and draw on an agile mindset: implement the minimal scope that could possibly stand on its own without negatively impacting existing functionality, and rapidly iterate and evolve it based on user and market feedback
Review code and design on various aspects like extensibility, scalability, security, design patterns etc. and ensure that all relevant best practices are followed
Contribute to the architecture of the system, take responsibility for the quality and stability of the product by getting hands-on with code and design reviews, debugging complex issues, among other things
Team’s delivery
Develop and automate business solutions by creating new and modifying existing software applications
Develop innovation, strategies, processes, and best practices
Promote and develop the culture of collaboration, accountability and quality
Provide technical support to team. Help team in resolving technical issues
Closely work with Business Teams, Onshore partners, deployment and infrastructure teams
Thought Leadership: Propose and implement best in class architectural solution for big and complex systems
Mentor: Coach high performing engineering team to build and deliver high quality product to market
Design and Coding are primary responsibilities of this role
Develop and Manage application using Public & Private Cloud infrastructure
Develop Microservices, leveraging container-based architecture using Kubernetes/EKS and Docker
Participate in Architecture discussion with Senior Architects, Product Owners, and Development Team and suggest appropriate technical solutions to achieve the required product features as well as monitoring technical progress against plans
Responsible for technology PoCs and spike
Analyze and troubleshoot application issues in a timely fashion
Assist in risk assessment and mitigation activities
Responsible for DevOps activities
Propose Innovative Solutions for the existing problems of Products
Constantly look at security aspects and propose architectural solution for security vulnerabilities
Develop detailed design specifications, data mapping and data transformation rules as per Product need
Define, use and communicate design patterns and best practices
Present and evaluate design solutions objectively and facilitate conflict resolution
Develops pioneering approaches to emerging technology and industry trends
Participation in Design reviews, Test Case reviews, and Production Support readiness reviews for new releases
Develops innovative approaches on performance optimization & automation
Support QA, UAT and Release phases of the project via defect analysis, change maintenance, etc.
Provide technology leadership to the team. Mentor and guide them whenever required
Required Qualifications:
Undergraduate degree or equivalent experience
At least 8 - 10 years of experience in developing Java/ Python distributed architecture applications
At least 2 years of application development experience using Docker/OpenShift etc.
Hands-on experience in developing Web Applications and REST services using Sprint Boot, Spring, Django, Flask ,React , Pyhton
Hands-on experience of developing high performing scalable Platform architecture for Microservices bases applications using Public cloud like AWS, Azure, Google etc.
Hands-on experience in coding and solving complex issues
Hands-on experience in Developing applications using Multi-Threading and Multi Process in Java/ Python
Experience in developing platform/frameworks using Java/Python libraries
Experience in software product ownership, technical product management, business analysis, or technical team leadership within a large matrix organization
Experience on DevOps tools like Terraform, chef, puppet, Ansible, Git & GitHub
Exposure of developing CI/CD pipelines. GitHub flow branching model
Proven expertise on profiler, security tools, design tools and methodologies, cloud etc.
Strong database skill with Postgres, MongoDB, Casandra, Graph DB etc.
Strong problem solving, interviewing and fact-finding skills
Demonstrable ability to own and deliver projects and results of increasing technical complexity
Preferred Qualifications:
Knowledge of US Healthcare domain."
Senior Data Analyst - Python SQL,Optum4.1(1880 Reviews),8 - 13 years,Not Disclosed,Hyderabad/Secunderabad,"Key Skills
Python
analyticsdata scienceData AnalysisData AnalystSQL
Skills highlighted with ‘‘ are preferred keyskills","About Company
Careers at Optum
If you're going to change careers, why not look for an employer that's out to change everything? If you have that kind of appetite for change, Optum is the right place for you. As part of the growing UnitedHealth Group family of businesses, we're driving innovation and change all over the world. That's creating opportunity right here in India for people with energy, passion and a focus on quality. We're driven to help people live healthier lives and to help make the health care system work better for everyone. We want to make a difference and that makes this the one job opportunity that can change everything for you.

As part of UnitedHealth Group, a Fortune 6 company, Optum is a leading health services and technology company dedicated to helping make the health system work better for everyone. With more than 115,000 people collaborating worldwide, Optum combines people, technology, data and action to improve the delivery, quality and efficiency of health care.

This work takes all of your commitment, skills, passion and energy. It's hard to become #1 and even harder to stay in the lead. That's why we rely on a set of fundamental principles that are guiding our way forward. Our values of integrity, compassion, relationships, innovation, and performance serve as a foundation to transform health care.
Are you in? Learn more about your future at Optum: workatoptum.com
Diversity creates a healthier atmosphere: Optum is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law. Optum is a drug-free workplace.
(c) 2017 Optum Global Solutions (India) Private Limited (formerly known as QSSI Technologies India Private Limited). All rights reserved.
Company Info
Address13625 Technology Dr,, Other USA, , USA","Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)
Primary Responsibilities:
Develop innovative approach to the exist Design and develop metrics framework, explore data and sources of truth, and work closely with Technical Architects on any kind of new existing business transformations
Collaborate with stakeholders to build new monitoring dashboards and performance reporting to improve business performance
Communicate with various functional areas and translate technical concepts in ways that can be understood by a variety of audiences
Assist Product Owner Scrum Master with Sprint Planning, Sprint Refinement, Product backlog requirements for the respective domains
Interact with internal customers to effectively design, implement, operationalize, and document report requirements that effectively meet business needs
Manage delivery and project plans in line with agreed standards SLAs
Support existing processes and implement change requirements as part of a structured change control process
Work within project planning constraints, communicate any project risks and issues to the delivery project manager product owner scrum master
Identify opportunities and integration with other process automation tools as appropriate
Conduct code review to ensure the work delivered by the team is of high-quality standards
Review the work of others
Develop innovative approaches
Sought out as expert
Serve as a leader/mentor
Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so
Required Qualifications:
Undergraduate degree or equivalent experience
8+ years of experience as Business Analyst Consultant with Data Engineering Team handling analytics and data science
Good experience in managing rigid delivery timelines and critical to delivery situations
Strong knowledge of SQL, Python
Knowledge of creating documentations, process flows, ER Diagrams for the process
Excellent written and verbal communication skills
Excellent analytical, problem solving and troubleshooting abilities
Self-driven and able to work independently with minimum support/mentoring
Ability to understand and provide support on resolving the data discrepancies, measurement and data mismatch issues and standardization
Ability to effectively communicate with all levels of internal and external customers
Ability to independently communicate with business partners, lead others toward technical accomplishment, collaborative project team efforts and achievement of project goals"
Data Engineer - AWS/Python/SQL,DataToBiz4.9(26 Reviews),7 - 10 years,Not Disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCRView More","Key Skills
scalaPythonSQL
UnixJavaAzureLinuxShell ScriptingDistributed ComputingData WarehousingAWS
Skills highlighted with ‘‘ are preferred keyskills","About Company
DataToBiz is an AI and Data Analytics Services startup. We are a team of young and dynamic professionals looking for an exceptional data scientist to join our team in Chandigarh. We are trying to solve some very exciting business challenges by applying cutting-edge Machine Learning and Deep Learning Technology. Being a consulting and services startup we are looking for quick learners who can work in a cross-functional team of Consultants, SMEs from various domains, UX architects, and Application development experts, to deliver compelling solutions through the application of Data Science and Machine Learning. The desired candidate will have a passion for finding patterns in large datasets, an ability to quickly understand the underlying domain and expertise to apply Machine Learning tools and techniques to create insights from the data.
Company Info
Address.","Scope of Work (Objectives, Expectations, and Deliverables) :

To support a number of 2022 initiatives, MobilityWare is looking to onboard the following roles :

- 2 Sr. Data Engineer(s) with 7-10 years of software engineering experience and minimum 4 years working with Big data in a cloud environment

- The engineer will work with the onshore team to design and implement big data pipelines, data warehouse solutions as well as perform code review among the team members.

- The engineer should have proven experience on production ETL system monitoring and troubleshooting

- Prior experience integrating with different types of data sources (API, batch, stream)

- The engineer should have a good track on handling ambiguous requirements

- The engineer should have experience on creating design specs, test cases and perform unit testing

- The engineer will be required to provide test results before delivery of the product to the onshore teambusiness clients.

- The engineer need to familiar with the github

- Mobilityware would participate in resource selection by interviewing each proposed candidate.

- Mobilityware will select candidates based on best fit for the role, technical abilities, and team fit.

Technical Skills :

- 7-10 years of experience in software development including Python, SQL, scala or Java

- 5+ years on Data warehouse data model design, ETL process performance tuning

- 5+ years experience on production system monitoring, troubleshooting using Python, SQL and airflow

- 4+ years of experience with a public cloud AWS, Google, or Azure

- 3+ year experience working on real-time data and streaming applications

- 3+ years experience with Distributed datacomputing tools (Spark, PySpark)

- 3+ years of experience with UNIXLinux including basic commands and shell scripting

- 2+ year experience working on data job management software like Airflow, AWS Glue

- Good to have production deployment experience on Machine Learning models training and integration with application systems."
